end,val,accn,fy,fp,form,filed,frame,label,start
2008-09-27,5520000000.0,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2008Q3I,AccountsPayable,
2009-06-27,4854000000.0,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2009Q2I,AccountsPayable,
2008-09-27,5520000000.0,0001193125-09-214859,2009,FY,10-K,2009-10-27,,AccountsPayableCurrent,
2008-09-27,5520000000.0,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,CY2008Q3I,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-09-214859,2009,FY,10-K,2009-10-27,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-238044,2010,FY,10-K,2010-10-27,CY2009Q3I,AccountsPayableCurrent,
2009-12-26,6511000000.0,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,CY2009Q4I,AccountsPayableCurrent,
2010-03-27,5666000000.0,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,CY2010Q1I,AccountsPayableCurrent,
2010-06-26,8469000000.0,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,CY2010Q2I,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-10-238044,2010,FY,10-K,2010-10-27,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-282113,2011,FY,10-K,2011-10-26,CY2010Q3I,AccountsPayableCurrent,
2010-12-25,14301000000.0,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,CY2010Q4I,AccountsPayableCurrent,
2011-03-26,13714000000.0,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,CY2011Q1I,AccountsPayableCurrent,
2011-06-25,15270000000.0,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,CY2011Q2I,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-11-282113,2011,FY,10-K,2011-10-26,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-444068,2012,FY,10-K,2012-10-31,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-13-170623,2012,FY,8-K,2013-04-24,CY2011Q3I,AccountsPayableCurrent,
2011-12-31,18221000000.0,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,CY2011Q4I,AccountsPayableCurrent,
2012-03-31,17011000000.0,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,CY2012Q1I,AccountsPayableCurrent,
2012-06-30,16808000000.0,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,CY2012Q2I,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-12-444068,2012,FY,10-K,2012-10-31,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-170623,2012,FY,8-K,2013-04-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-416534,2013,FY,10-K,2013-10-30,CY2012Q3I,AccountsPayableCurrent,
2012-12-29,26398000000.0,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,CY2012Q4I,AccountsPayableCurrent,
2013-03-30,14912000000.0,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,CY2013Q1I,AccountsPayableCurrent,
2013-06-29,15516000000.0,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,CY2013Q2I,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-13-416534,2013,FY,10-K,2013-10-30,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-383437,2014,FY,10-K,2014-10-27,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-15-023732,2014,FY,8-K,2015-01-28,CY2013Q3I,AccountsPayableCurrent,
2013-12-28,29588000000.0,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,CY2013Q4I,AccountsPayableCurrent,
2014-03-29,18914000000.0,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,CY2014Q1I,AccountsPayableCurrent,
2014-06-28,20535000000.0,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,CY2014Q2I,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-14-383437,2014,FY,10-K,2014-10-27,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-023732,2014,FY,8-K,2015-01-28,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-356351,2015,FY,10-K,2015-10-28,CY2014Q3I,AccountsPayableCurrent,
2014-12-27,38001000000.0,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,CY2014Q4I,AccountsPayableCurrent,
2015-03-28,23159000000.0,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,CY2015Q1I,AccountsPayableCurrent,
2015-06-27,26474000000.0,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,CY2015Q2I,AccountsPayableCurrent,
2015-09-26,35490000000.0,0001193125-15-356351,2015,FY,10-K,2015-10-28,,AccountsPayableCurrent,
2015-09-26,35490000000.0,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,,AccountsPayableCurrent,
2015-09-26,35490000000.0,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,,AccountsPayableCurrent,
2015-09-26,35490000000.0,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,,AccountsPayableCurrent,
2015-09-26,35490000000.0,0001628280-16-020309,2016,FY,10-K,2016-10-26,CY2015Q3I,AccountsPayableCurrent,
2015-12-26,33312000000.0,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,CY2015Q4I,AccountsPayableCurrent,
2016-03-26,25098000000.0,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,CY2016Q1I,AccountsPayableCurrent,
2016-06-25,26318000000.0,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,CY2016Q2I,AccountsPayableCurrent,
2016-09-24,37294000000.0,0001628280-16-020309,2016,FY,10-K,2016-10-26,,AccountsPayableCurrent,
2016-09-24,37294000000.0,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,,AccountsPayableCurrent,
2016-09-24,37294000000.0,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,,AccountsPayableCurrent,
2016-09-24,37294000000.0,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,,AccountsPayableCurrent,
2016-09-24,37294000000.0,0000320193-17-000070,2017,FY,10-K,2017-11-03,CY2016Q3I,AccountsPayableCurrent,
2016-12-31,38510000000.0,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,CY2016Q4I,AccountsPayableCurrent,
2017-04-01,28573000000.0,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,CY2017Q1I,AccountsPayableCurrent,
2017-07-01,31915000000.0,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,CY2017Q2I,AccountsPayableCurrent,
2017-09-30,49049000000.0,0000320193-17-000070,2017,FY,10-K,2017-11-03,,AccountsPayableCurrent,
2017-09-30,49049000000.0,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,,AccountsPayableCurrent,
2017-09-30,49049000000.0,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,,AccountsPayableCurrent,
2017-09-30,49049000000.0,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,,AccountsPayableCurrent,
2017-09-30,44242000000.0,0000320193-18-000145,2018,FY,10-K,2018-11-05,CY2017Q3I,AccountsPayableCurrent,
2017-12-30,62985000000.0,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,CY2017Q4I,AccountsPayableCurrent,
2018-03-31,34311000000.0,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,CY2018Q1I,AccountsPayableCurrent,
2018-06-30,38489000000.0,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,CY2018Q2I,AccountsPayableCurrent,
2018-09-29,55888000000.0,0000320193-18-000145,2018,FY,10-K,2018-11-05,,AccountsPayableCurrent,
2018-09-29,55888000000.0,0000320193-19-000010,2019,Q1,10-Q,2019-01-30,,AccountsPayableCurrent,
2018-09-29,55888000000.0,0000320193-19-000066,2019,Q2,10-Q,2019-05-01,,AccountsPayableCurrent,
2018-09-29,55888000000.0,0000320193-19-000076,2019,Q3,10-Q,2019-07-31,,AccountsPayableCurrent,
2018-09-29,55888000000.0,0000320193-19-000119,2019,FY,10-K,2019-10-31,CY2018Q3I,AccountsPayableCurrent,
2018-12-29,44293000000.0,0000320193-19-000010,2019,Q1,10-Q,2019-01-30,CY2018Q4I,AccountsPayableCurrent,
2019-03-30,30443000000.0,0000320193-19-000066,2019,Q2,10-Q,2019-05-01,CY2019Q1I,AccountsPayableCurrent,
2019-06-29,29115000000.0,0000320193-19-000076,2019,Q3,10-Q,2019-07-31,CY2019Q2I,AccountsPayableCurrent,
2019-09-28,46236000000.0,0000320193-19-000119,2019,FY,10-K,2019-10-31,,AccountsPayableCurrent,
2019-09-28,46236000000.0,0000320193-20-000010,2020,Q1,10-Q,2020-01-29,,AccountsPayableCurrent,
2019-09-28,46236000000.0,0000320193-20-000052,2020,Q2,10-Q,2020-05-01,,AccountsPayableCurrent,
2019-09-28,46236000000.0,0000320193-20-000062,2020,Q3,10-Q,2020-07-31,,AccountsPayableCurrent,
2019-09-28,46236000000.0,0000320193-20-000096,2020,FY,10-K,2020-10-30,CY2019Q3I,AccountsPayableCurrent,
2019-12-28,45111000000.0,0000320193-20-000010,2020,Q1,10-Q,2020-01-29,CY2019Q4I,AccountsPayableCurrent,
2020-03-28,32421000000.0,0000320193-20-000052,2020,Q2,10-Q,2020-05-01,CY2020Q1I,AccountsPayableCurrent,
2020-06-27,35325000000.0,0000320193-20-000062,2020,Q3,10-Q,2020-07-31,CY2020Q2I,AccountsPayableCurrent,
2020-09-26,42296000000.0,0000320193-20-000096,2020,FY,10-K,2020-10-30,,AccountsPayableCurrent,
2020-09-26,42296000000.0,0000320193-21-000010,2021,Q1,10-Q,2021-01-28,,AccountsPayableCurrent,
2020-09-26,42296000000.0,0000320193-21-000056,2021,Q2,10-Q,2021-04-29,,AccountsPayableCurrent,
2020-09-26,42296000000.0,0000320193-21-000065,2021,Q3,10-Q,2021-07-28,,AccountsPayableCurrent,
2020-09-26,42296000000.0,0000320193-21-000105,2021,FY,10-K,2021-10-29,CY2020Q3I,AccountsPayableCurrent,
2020-12-26,63846000000.0,0000320193-21-000010,2021,Q1,10-Q,2021-01-28,CY2020Q4I,AccountsPayableCurrent,
2021-03-27,40127000000.0,0000320193-21-000056,2021,Q2,10-Q,2021-04-29,CY2021Q1I,AccountsPayableCurrent,
2021-06-26,40409000000.0,0000320193-21-000065,2021,Q3,10-Q,2021-07-28,CY2021Q2I,AccountsPayableCurrent,
2021-09-25,54763000000.0,0000320193-21-000105,2021,FY,10-K,2021-10-29,,AccountsPayableCurrent,
2021-09-25,54763000000.0,0000320193-22-000007,2022,Q1,10-Q,2022-01-28,,AccountsPayableCurrent,
2021-09-25,54763000000.0,0000320193-22-000059,2022,Q2,10-Q,2022-04-29,,AccountsPayableCurrent,
2021-09-25,54763000000.0,0000320193-22-000070,2022,Q3,10-Q,2022-07-29,,AccountsPayableCurrent,
2021-09-25,54763000000.0,0000320193-22-000108,2022,FY,10-K,2022-10-28,CY2021Q3I,AccountsPayableCurrent,
2021-12-25,74362000000.0,0000320193-22-000007,2022,Q1,10-Q,2022-01-28,CY2021Q4I,AccountsPayableCurrent,
2022-03-26,52682000000.0,0000320193-22-000059,2022,Q2,10-Q,2022-04-29,CY2022Q1I,AccountsPayableCurrent,
2022-06-25,48343000000.0,0000320193-22-000070,2022,Q3,10-Q,2022-07-29,CY2022Q2I,AccountsPayableCurrent,
2022-09-24,64115000000.0,0000320193-22-000108,2022,FY,10-K,2022-10-28,,AccountsPayableCurrent,
2022-09-24,64115000000.0,0000320193-23-000006,2023,Q1,10-Q,2023-02-03,,AccountsPayableCurrent,
2022-09-24,64115000000.0,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,,AccountsPayableCurrent,
2022-09-24,64115000000.0,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,CY2022Q3I,AccountsPayableCurrent,
2022-12-31,57918000000.0,0000320193-23-000006,2023,Q1,10-Q,2023-02-03,CY2022Q4I,AccountsPayableCurrent,
2023-04-01,42945000000.0,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,CY2023Q1I,AccountsPayableCurrent,
2023-07-01,46699000000.0,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,CY2023Q2I,AccountsPayableCurrent,
2008-09-27,2422000000.0,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,,AccountsReceivableNetCurrent,
2008-09-27,2422000000.0,0001193125-09-214859,2009,FY,10-K,2009-10-27,,AccountsReceivableNetCurrent,
2008-09-27,2422000000.0,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,CY2008Q3I,AccountsReceivableNetCurrent,
2009-06-27,2686000000.0,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2009Q2I,AccountsReceivableNetCurrent,
2009-09-26,3361000000.0,0001193125-09-214859,2009,FY,10-K,2009-10-27,,AccountsReceivableNetCurrent,
2009-09-26,3361000000.0,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,,AccountsReceivableNetCurrent,
2009-09-26,3361000000.0,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,,AccountsReceivableNetCurrent,
2009-09-26,3361000000.0,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,,AccountsReceivableNetCurrent,
2009-09-26,3361000000.0,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,,AccountsReceivableNetCurrent,
2009-09-26,3361000000.0,0001193125-10-238044,2010,FY,10-K,2010-10-27,CY2009Q3I,AccountsReceivableNetCurrent,
2009-12-26,3090000000.0,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,CY2009Q4I,AccountsReceivableNetCurrent,
2010-03-27,2886000000.0,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,CY2010Q1I,AccountsReceivableNetCurrent,
2010-06-26,3447000000.0,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,CY2010Q2I,AccountsReceivableNetCurrent,
2010-09-25,5510000000.0,0001193125-10-238044,2010,FY,10-K,2010-10-27,,AccountsReceivableNetCurrent,
2010-09-25,5510000000.0,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,,AccountsReceivableNetCurrent,
2010-09-25,5510000000.0,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,,AccountsReceivableNetCurrent,
2010-09-25,5510000000.0,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,,AccountsReceivableNetCurrent,
2010-09-25,5510000000.0,0001193125-11-282113,2011,FY,10-K,2011-10-26,CY2010Q3I,AccountsReceivableNetCurrent,
2010-12-25,6027000000.0,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,CY2010Q4I,AccountsReceivableNetCurrent,
2011-03-26,5798000000.0,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,CY2011Q1I,AccountsReceivableNetCurrent,
2011-06-25,6102000000.0,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,CY2011Q2I,AccountsReceivableNetCurrent,
2011-09-24,5369000000.0,0001193125-11-282113,2011,FY,10-K,2011-10-26,,AccountsReceivableNetCurrent,
2011-09-24,5369000000.0,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,,AccountsReceivableNetCurrent,
2011-09-24,5369000000.0,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,,AccountsReceivableNetCurrent,
2011-09-24,5369000000.0,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,,AccountsReceivableNetCurrent,
2011-09-24,5369000000.0,0001193125-12-444068,2012,FY,10-K,2012-10-31,,AccountsReceivableNetCurrent,
2011-09-24,5369000000.0,0001193125-13-170623,2012,FY,8-K,2013-04-24,CY2011Q3I,AccountsReceivableNetCurrent,
2011-12-31,8930000000.0,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,CY2011Q4I,AccountsReceivableNetCurrent,
2012-03-31,7042000000.0,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,CY2012Q1I,AccountsReceivableNetCurrent,
2012-06-30,7657000000.0,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,CY2012Q2I,AccountsReceivableNetCurrent,
2012-09-29,10930000000.0,0001193125-12-444068,2012,FY,10-K,2012-10-31,,AccountsReceivableNetCurrent,
2012-09-29,10930000000.0,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,,AccountsReceivableNetCurrent,
2012-09-29,10930000000.0,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,,AccountsReceivableNetCurrent,
2012-09-29,10930000000.0,0001193125-13-170623,2012,FY,8-K,2013-04-24,,AccountsReceivableNetCurrent,
2012-09-29,10930000000.0,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,,AccountsReceivableNetCurrent,
2012-09-29,10930000000.0,0001193125-13-416534,2013,FY,10-K,2013-10-30,CY2012Q3I,AccountsReceivableNetCurrent,
2012-12-29,11598000000.0,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,CY2012Q4I,AccountsReceivableNetCurrent,
2013-03-30,7084000000.0,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,CY2013Q1I,AccountsReceivableNetCurrent,
2013-06-29,8839000000.0,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,CY2013Q2I,AccountsReceivableNetCurrent,
2013-09-28,13102000000.0,0001193125-13-416534,2013,FY,10-K,2013-10-30,,AccountsReceivableNetCurrent,
2013-09-28,13102000000.0,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,,AccountsReceivableNetCurrent,
2013-09-28,13102000000.0,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,,AccountsReceivableNetCurrent,
2013-09-28,13102000000.0,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,,AccountsReceivableNetCurrent,
2013-09-28,13102000000.0,0001193125-14-383437,2014,FY,10-K,2014-10-27,,AccountsReceivableNetCurrent,
2013-09-28,13102000000.0,0001193125-15-023732,2014,FY,8-K,2015-01-28,CY2013Q3I,AccountsReceivableNetCurrent,
2013-12-28,14200000000.0,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,CY2013Q4I,AccountsReceivableNetCurrent,
2014-03-29,9700000000.0,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,CY2014Q1I,AccountsReceivableNetCurrent,
2014-06-28,10788000000.0,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,CY2014Q2I,AccountsReceivableNetCurrent,
2014-09-27,17460000000.0,0001193125-14-383437,2014,FY,10-K,2014-10-27,,AccountsReceivableNetCurrent,
2014-09-27,17460000000.0,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,,AccountsReceivableNetCurrent,
2014-09-27,17460000000.0,0001193125-15-023732,2014,FY,8-K,2015-01-28,,AccountsReceivableNetCurrent,
2014-09-27,17460000000.0,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,,AccountsReceivableNetCurrent,
2014-09-27,17460000000.0,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,,AccountsReceivableNetCurrent,
2014-09-27,17460000000.0,0001193125-15-356351,2015,FY,10-K,2015-10-28,CY2014Q3I,AccountsReceivableNetCurrent,
2014-12-27,16709000000.0,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,CY2014Q4I,AccountsReceivableNetCurrent,
2015-03-28,10905000000.0,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,CY2015Q1I,AccountsReceivableNetCurrent,
2015-06-27,10370000000.0,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,CY2015Q2I,AccountsReceivableNetCurrent,
2015-09-26,16849000000.0,0001193125-15-356351,2015,FY,10-K,2015-10-28,,AccountsReceivableNetCurrent,
2015-09-26,16849000000.0,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,,AccountsReceivableNetCurrent,
2015-09-26,16849000000.0,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,,AccountsReceivableNetCurrent,
2015-09-26,16849000000.0,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,,AccountsReceivableNetCurrent,
2015-09-26,16849000000.0,0001628280-16-020309,2016,FY,10-K,2016-10-26,CY2015Q3I,AccountsReceivableNetCurrent,
2015-12-26,12953000000.0,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,CY2015Q4I,AccountsReceivableNetCurrent,
2016-03-26,12229000000.0,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,CY2016Q1I,AccountsReceivableNetCurrent,
2016-06-25,11714000000.0,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,CY2016Q2I,AccountsReceivableNetCurrent,
2016-09-24,15754000000.0,0001628280-16-020309,2016,FY,10-K,2016-10-26,,AccountsReceivableNetCurrent,
2016-09-24,15754000000.0,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,,AccountsReceivableNetCurrent,
2016-09-24,15754000000.0,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,,AccountsReceivableNetCurrent,
2016-09-24,15754000000.0,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,,AccountsReceivableNetCurrent,
2016-09-24,15754000000.0,0000320193-17-000070,2017,FY,10-K,2017-11-03,CY2016Q3I,AccountsReceivableNetCurrent,
2016-12-31,14057000000.0,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,CY2016Q4I,AccountsReceivableNetCurrent,
2017-04-01,11579000000.0,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,CY2017Q1I,AccountsReceivableNetCurrent,
2017-07-01,12399000000.0,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,CY2017Q2I,AccountsReceivableNetCurrent,
2017-09-30,17874000000.0,0000320193-17-000070,2017,FY,10-K,2017-11-03,,AccountsReceivableNetCurrent,
2017-09-30,17874000000.0,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,,AccountsReceivableNetCurrent,
2017-09-30,17874000000.0,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,,AccountsReceivableNetCurrent,
2017-09-30,17874000000.0,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,,AccountsReceivableNetCurrent,
2017-09-30,17874000000.0,0000320193-18-000145,2018,FY,10-K,2018-11-05,CY2017Q3I,AccountsReceivableNetCurrent,
2017-12-30,23440000000.0,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,CY2017Q4I,AccountsReceivableNetCurrent,
2018-03-31,14324000000.0,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,CY2018Q1I,AccountsReceivableNetCurrent,
2018-06-30,14104000000.0,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,CY2018Q2I,AccountsReceivableNetCurrent,
2018-09-29,23186000000.0,0000320193-18-000145,2018,FY,10-K,2018-11-05,,AccountsReceivableNetCurrent,
2018-09-29,23186000000.0,0000320193-19-000010,2019,Q1,10-Q,2019-01-30,,AccountsReceivableNetCurrent,
2018-09-29,23186000000.0,0000320193-19-000066,2019,Q2,10-Q,2019-05-01,,AccountsReceivableNetCurrent,
2018-09-29,23186000000.0,0000320193-19-000076,2019,Q3,10-Q,2019-07-31,,AccountsReceivableNetCurrent,
2018-09-29,23186000000.0,0000320193-19-000119,2019,FY,10-K,2019-10-31,CY2018Q3I,AccountsReceivableNetCurrent,
2018-12-29,18077000000.0,0000320193-19-000010,2019,Q1,10-Q,2019-01-30,CY2018Q4I,AccountsReceivableNetCurrent,
2019-03-30,15085000000.0,0000320193-19-000066,2019,Q2,10-Q,2019-05-01,CY2019Q1I,AccountsReceivableNetCurrent,
2019-06-29,14148000000.0,0000320193-19-000076,2019,Q3,10-Q,2019-07-31,CY2019Q2I,AccountsReceivableNetCurrent,
2019-09-28,22926000000.0,0000320193-19-000119,2019,FY,10-K,2019-10-31,,AccountsReceivableNetCurrent,
2019-09-28,22926000000.0,0000320193-20-000010,2020,Q1,10-Q,2020-01-29,,AccountsReceivableNetCurrent,
2019-09-28,22926000000.0,0000320193-20-000052,2020,Q2,10-Q,2020-05-01,,AccountsReceivableNetCurrent,
2019-09-28,22926000000.0,0000320193-20-000062,2020,Q3,10-Q,2020-07-31,,AccountsReceivableNetCurrent,
2019-09-28,22926000000.0,0000320193-20-000096,2020,FY,10-K,2020-10-30,CY2019Q3I,AccountsReceivableNetCurrent,
2019-12-28,20970000000.0,0000320193-20-000010,2020,Q1,10-Q,2020-01-29,CY2019Q4I,AccountsReceivableNetCurrent,
2020-03-28,15722000000.0,0000320193-20-000052,2020,Q2,10-Q,2020-05-01,CY2020Q1I,AccountsReceivableNetCurrent,
2020-06-27,17882000000.0,0000320193-20-000062,2020,Q3,10-Q,2020-07-31,CY2020Q2I,AccountsReceivableNetCurrent,
2020-09-26,16120000000.0,0000320193-20-000096,2020,FY,10-K,2020-10-30,,AccountsReceivableNetCurrent,
2020-09-26,16120000000.0,0000320193-21-000010,2021,Q1,10-Q,2021-01-28,,AccountsReceivableNetCurrent,
2020-09-26,16120000000.0,0000320193-21-000056,2021,Q2,10-Q,2021-04-29,,AccountsReceivableNetCurrent,
2020-09-26,16120000000.0,0000320193-21-000065,2021,Q3,10-Q,2021-07-28,,AccountsReceivableNetCurrent,
2020-09-26,16120000000.0,0000320193-21-000105,2021,FY,10-K,2021-10-29,CY2020Q3I,AccountsReceivableNetCurrent,
2020-12-26,27101000000.0,0000320193-21-000010,2021,Q1,10-Q,2021-01-28,CY2020Q4I,AccountsReceivableNetCurrent,
2021-03-27,18503000000.0,0000320193-21-000056,2021,Q2,10-Q,2021-04-29,CY2021Q1I,AccountsReceivableNetCurrent,
2021-06-26,17475000000.0,0000320193-21-000065,2021,Q3,10-Q,2021-07-28,CY2021Q2I,AccountsReceivableNetCurrent,
2021-09-25,26278000000.0,0000320193-21-000105,2021,FY,10-K,2021-10-29,,AccountsReceivableNetCurrent,
